sampid,most_likely_K,num_empty_clusters,mean_cluster_quality,top_tree_fraction
0c7af04b-e171-47c4-8be5-5db33f20148e,7,4,102.317460317,0.7291
41a7b031-d928-4a1f-891b-82fb3f6d548f,10,5,141.65,0.95008
6847e993-1414-4e6f-a2af-39ebe218dd7c,6,3,67.2975172975,0.5357
7f1ca00a-84ba-4b26-a1a5-4d83c363ac69,9,0,52.8962962963,0.8372
81a8b064-e735-455f-b2db-af7ae11daac4,10,8,66.7888888889,0.5302
878a7fe7-20ff-4651-9587-b4d6fd42e929,10,5,70.7466666667,0.78954
8d4cb709-c95c-4bdc-844b-c0bfa2a3028e,6,0,80.0873015873,0.75055
9d29543e-8601-4fd0-8e76-3df3de465cab,5,3,145.166666667,0.67605
cd3d7559-b583-4474-81df-4bf9232de3c2,6,4,107.572649573,0.51985
d8f0becd-fda8-41f4-a424-e082f9eae22c,8,1,44.9782312925,0.764
f64e9609-d75d-400c-a92d-d77fd54d6c29,5,2,122.702380952,0.815133333333
fb0c6353-a90c-45e2-9355-7cd16cf756ff,6,5,349.571428571,0.66
